Season,No.,Team,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
1976,50,ATL,John Brown,PF,6-7,220,"December 14, 1951",de,2,Missouri
1976,24,ATL,Jim Creighton,SF,6-8,200,"April 18, 1950",us,R,Colorado
1976,22,ATL,John Drew,SF,6-6,205,"September 30, 1954",us,1,Gardner-Webb University
1976,21,ATL,Dennis DuVal,PG,6-3,175,"March 31, 1952",us,1,Syracuse
1976,42,ATL,Connie Hawkins,PF,6-8,210,"July 17, 1942",us,8,Iowa
1976,14,ATL,Tom Henderson,PG,6-3,190,"January 26, 1952",us,1,Hawaii
1976,20,ATL,Wilbur Holland,SG,6-0,175,"November 8, 1951",us,R,New Orleans
1976,23,ATL,Lou Hudson,SG,6-5,210,"July 11, 1944",us,9,Minnesota
1976,13,ATL,Dwight Jones,C,6-10,210,"February 27, 1952",us,2,Houston
1976,7,ATL,Dean Meminger,SG,6-0,175,"May 13, 1948",us,4,Marquette
1976,40,ATL,Mike Sojourner,C,6-9,225,"October 16, 1953",us,1,Utah
1976,5,ATL,Tom Van Arsdale,SF,6-5,202,"February 22, 1943",us,10,Indiana
1976,32,ATL,Bill Willoughby,SF,6-8,205,"May 20, 1957",us,R,
1976,42,BOS,Jerome Anderson,SG,6-5,195,"October 9, 1953",us,R,West Virginia
1976,34,BOS,Jim Ard,C,6-8,215,"September 19, 1948",us,5,Cincinnati
1976,31,BOS,Tom Boswell,PF,6-9,220,"October 2, 1953",us,R,"South Carolina State, South Carolina"
1976,18,BOS,Dave Cowens,C,6-9,230,"October 25, 1948",us,5,Florida State
1976,17,BOS,John Havlicek,SF,6-5,203,"April 8, 1940",us,13,Ohio State
1976,33,BOS,Steve Kuberski,C,6-8,215,"November 6, 1947",us,6,Bradley
1976,30,BOS,Glenn McDonald,SF,6-6,190,"March 18, 1952",us,1,Cal State Long Beach
1976,19,BOS,Don Nelson,SF,6-6,210,"May 15, 1940",us,13,Iowa
1976,11,BOS,Charlie Scott,SG,6-5,175,"December 15, 1948",us,5,UNC
1976,32,BOS,Ed Searcy,SF,6-6,210,"April 17, 1952",us,R,St. John's
1976,35,BOS,Paul Silas,PF,6-7,220,"July 12, 1943",us,11,Creighton
1976,27,BOS,Kevin Stacom,SG,6-3,185,"September 4, 1951",us,1,"Holy Cross, Providence"
1976,10,BOS,Jo Jo White,PG,6-3,190,"November 16, 1946",us,6,Kansas
1976,5,CHI,Leon Benbow,SG,6-4,185,"July 23, 1950",us,1,Jacksonville University
1976,35,CHI,John Block,PF,6-9,207,"April 16, 1944",us,9,USC
1976,18,CHI,Tom Boerwinkle,C,7-0,265,"August 23, 1945",us,7,Tennessee
1976,"23, 41",CHI,Eric Fernsten,C,6-10,205,"November 1, 1953",us,R,San Francisco
1976,23,CHI,Rowland Garrett,SF,6-6,210,"July 16, 1950",us,3,Florida State
1976,14,CHI,Matt Guokas,SG,6-5,175,"February 25, 1944",us,9,Saint Joseph's
1976,8,CHI,Mickey Johnson,PF,6-10,190,"August 31, 1952",us,1,Aurora University
1976,20,CHI,John Laskowski,SG,6-6,185,"June 7, 1953",us,R,Indiana
1976,10,CHI,Bob Love,SF,6-8,215,"December 8, 1942",us,9,Southern University and A&M College
1976,24,CHI,Jack Marin,SF,6-7,200,"October 12, 1944",us,9,Duke
1976,"32, 42",CHI,Steve Patterson,C,6-9,225,"June 24, 1948",us,4,UCLA
1976,"41, 42",CHI,Cliff Pondexter,PF,6-9,233,"September 15, 1954",us,R,Cal State Long Beach
